freq_range,freq_range_mhz,freq_unit,itu_intl_region1_2_services,itu_intl_footnotes,itu_region3_services,usa_federal_services,usa_federal_footnotes,usa_nonfederal_services,usa_nonfederal_footnotes,typical_devices_applications,note
123.5875-128.8125,0.1236-0.1288,kHz,,,,AERONAUTICAL MOBILE (R),US26 US36,,,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
128.8125-132.0125,0.1288-0.1320,kHz,,,,,,AERONAUTICAL MOBILE (R),,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
130-135.7,0.1300-0.1357,kHz,FIXED | MARITIME MOBILE,5.64,FIXED | MARITIME MOBILE | RADIONAVIGATION,FIXED | MARITIME MOBILE,5.64 US2,,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
130-134,0.1300-0.1340,kHz,,,,EARTH EXPLORATION-SATELLITE (active) 5.562E | FIXED | INTER-SATELLITE | MOBILE 5.558 | RADIO ASTRONOMY,5.562A US342,,,"Radio telescopes, scientific receivers; Point-to-point microwave links, satellite earth stations; Satellite phones, VSAT terminals, satellite internet; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
132.0125-136,0.1320-0.1360,kHz,,,,AERONAUTICAL MOBILE (R),US26,,,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
134-136,0.1340-0.1360,kHz,,,,Radio astronomy,,AMATEUR | AMATEUR-SATELLITE | Radio astronomy,,"Radio telescopes, scientific receivers; Ham radio transceivers, SDR receivers",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
135.7-137.8,0.1357-0.1378,kHz,FIXED | MARITIME MOBILE | Amateur 5.67A,5.64,FIXED | MARITIME MOBILE | RADIONAVIGATION | Amateur 5.67A,FIXED | MARITIME MOBILE,5.64 US2,Amateur 5.67A,US2,"Ham radio transceivers, SDR receivers; Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
136-137,0.1360-0.1370,kHz,,,,,US244,AERONAUTICAL MOBILE (R),US244,"Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
136-141,0.1360-0.1410,kHz,,,,RADIO ASTRONOMY | RADIOLOCATION,US342,RADIO ASTRONOMY | RADIOLOCATION | Amateur | Amateur-satellite,US342,"Radio telescopes, scientific receivers; Ham radio transceivers, SDR receivers; Radar systems, speed guns, weather radar",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
137-137.025,0.1370-0.1370,kHz,,,,SPACE OPERATION (space-to-Earth) | METEOROLOGICAL-SATELLITE (space-to-Earth) | MOBILE-SATELLITE (space-to-Earth) US319 US320 | SPACE RESEARCH (space-to-Earth),5.208,,,"Satellite phones, VSAT terminals, satellite internet; Mobile phones, cellular base stations (2G/3G/4G/5G); Deep space probes, scientific satellites",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
137.025-137.175,0.1370-0.1372,kHz,,,,SPACE OPERATION (space-to-Earth) | METEOROLOGICAL-SATELLITE (space-to-Earth) | SPACE RESEARCH (space-to-Earth) | Mobile-satellite (space-to-Earth) US319 US320,5.208,,,"Satellite phones, VSAT terminals, satellite internet; Mobile phones, cellular base stations (2G/3G/4G/5G); Deep space probes, scientific satellites",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
137.175-137.825,0.1372-0.1378,kHz,,,,SPACE OPERATION (space-to-Earth) | METEOROLOGICAL-SATELLITE (space-to-Earth) | MOBILE-SATELLITE (space-to-Earth) US319 US320 | SPACE RESEARCH (space-to-Earth),5.208,,,"Satellite phones, VSAT terminals, satellite internet; Mobile phones, cellular base stations (2G/3G/4G/5G); Deep space probes, scientific satellites",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
137.8-160,0.1378-0.1600,kHz,FIXED | MARITIME MOBILE,5.64,FIXED | MARITIME MOBILE | RADIONAVIGATION,FIXED | MARITIME MOBILE,5.64 US2,,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
137.825-138,0.1378-0.1380,kHz,,,,SPACE OPERATION (space-to-Earth) | METEOROLOGICAL-SATELLITE (space-to-Earth) | SPACE RESEARCH (space-to-Earth) | Mobile-satellite (space-to-Earth) US319 US320,5.208,,,"Satellite phones, VSAT terminals, satellite internet; Mobile phones, cellular base stations (2G/3G/4G/5G); Deep space probes, scientific satellites",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
138-143.6,0.1380-0.1436,kHz,FIXED | MOBILE | RADIOLOCATION | Space research (space-to-Earth),,FIXED | MOBILE | Space research (space-to-Earth),FIXED | MOBILE,G30,,,"Radar systems, speed guns, weather radar; Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G); Deep space probes, scientific satellites",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
